# Generated by /Users/miagrahn/wcEcoli/validation/ecoli/scripts/uniprot_data_conversion/convert_Schmidt_validation_data_to_flat.py on Mon Nov 10 23:47:26 2025
Uniprot Accession	Description	Gene	Monomer ID	Common Name	Peptides.used.for.quantitation	Confidence.score	Molecular weight (Da)	Dataset	Glucose	LB	Glycerol + AA	Acetate	Fumarate	Glucosamine	Glycerol	Pyruvate	Chemostat µ=0.5	Chemostat µ=0.35	Chemostat µ=0.20	Chemostat µ=0.12	Stationary phase 1 day	Stationary phase 3 days	Osmotic-stress glucose	42°C glucose	pH6 glucose	Xylose	Mannose	Galactose	Succinate	Fructose	Glucose	LB	Glycerol + AA	Acetate	Fumarate
"P0A8T7"	'"DNA-directed RNA polymerase subunit beta'' OS=Escherichia coli (strain K12) GN=rpoC PE=1 SV=1"'	"rpoC"	"RPOC-MONOMER"	"rpoC"	91	6045.53	155045.008	"2"	2779	7164	4503.0	2180	2444	3316	2845	2730	4780	3900	3477	3000	1735	1907	2248	3985	3339	3632.0	3401.0	2258	2764	4517.0	0.715	1.84	1.16	0.561	0.629
"P0A8V2"	"DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) GN=rpoB PE=1 SV=1"	"rpoB"	"RPOB-MONOMER"	"rpoB"	89	5061.29	150520.2758	"2"	3957	8888	5199.0	2661	3199	3999	3749	3714	5245	4388	3860	3455	2379	2227	3254	4923	4032	4437.0	4143.0	2820	3855	5269.0	0.989	2.22	1.3	0.665	0.8
"P36683"	"Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3"	"acnB"	"ACONITATEDEHYDRB-MONOMER"	"acnB"	67	4505.67	93420.9457	"2"	7596	16600	17548.0	22844	19491	13753	10792	16395	15733	20261	16410	13763	933	756	2815	4842	4649	6697.0	16517.0	12875	19547	8782.0	1.18	2.58	2.72	3.54	3.02
"P15254"	"Phosphoribosylformylglycinamidine synthase OS=Escherichia coli (strain K12) GN=purL PE=1 SV=3"	"purL"	"FGAMSYN-MONOMER"	"purL"	65	4277.71	141295.8984	"2"	2456	821	2339.0	1438	2071	1959	2068	2708	2285	1730	1468	1219	618	735	1318	1885	1708	1721.0	1764.0	1570	1913	2406.0	0.576	0.193	0.549	0.337	0.486
"P09831"	"Glutamate synthase [NADPH] large chain OS=Escherichia coli (strain K12) GN=gltB PE=1 SV=3"	"gltB"	"GLUSYNLARGE-MONOMER"	"gltB"	64	4111.74	163176.3153	"2"	2859	604	652.0	1363	1281	1977	2204	1691	2321	1959	1771	1379	230	183	834	2979	2723	2496.0	2079.0	1398	1553	3858.0	0.775	0.164	0.177	0.369	0.347
"P0AFG8"	"Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2"	"aceE"	"E1P-MONOMER"	"aceE"	59	3547.25	99587.94042	"2"	5815	11820	6671.0	2445	4521	4198	4067	15791	5884	5275	4409	4794	5279	5888	6283	6983	9459	10243.0	4905.0	3263	4739	9414.0	0.962	1.95	1.1	0.404	0.748
"P0A9Q7"	"Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2"	"adhE"	"ADHE-MONOMER"	"adhE"	58	4443.68	96048.64958	"2"	4851	5472	5634.0	4510	4007	7361	5186	3292	10354	7637	7837	8009	7038	6714	5216	9029	9015	8391.0	5977.0	6324	4052	19994.0	0.774	0.873	0.899	0.719	0.639
"P0CE47"	"Elongation factor Tu 1 OS=Escherichia coli (strain K12) GN=tufA PE=1 SV=1"	"tufA"	"EG11036-MONOMER"	"tufA"	57	4565.07	43238.30279	"2"	252452	443852	368888.0	149278	190256	173736	191041	187233	180819	142247	112618	102131	86996	88447	214484	250232	192346	216764.0	192017.0	140285	195883	233116.0	18.1	31.9	26.5	10.7	13.7
"P25665"	"5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Escherichia coli (strain K12) GN=metE PE=1 SV=6"	"metE"	"HOMOCYSMET-MONOMER"	"metE"	56	4067.16	84602.80905	"2"	51584	1711	1690.0	17413	19719	23978	28808	18643	27208	13268	8295	4243	3382	3563	30109	32362	25744	32790.0	26643.0	11660	19185	38848.0	7.25	0.24	0.237	2.45	2.77
"P0A6F5"	"60 kDa chaperonin OS=Escherichia coli (strain K12) GN=groL PE=1 SV=2"	"groL"	"EG10599-MONOMER"	"groL"	55	3795.21	57274.67483	"2"	22739	65887	57319.0	19540	26422	23090	26358	22919	25954	23702	17811	16980	26509	25774	22879	65428	26821	26428.0	27239.0	15632	26639	24906.0	2.16	6.27	5.45	1.86	2.51
